parametro,valor,semilla,ganador,estrategia,turno_final,cuota_final,combates,bajas,turno_inflexion,eventos,cancelados,aleatorios,ganador_guerra_continua
k_bajas,0.7,20260805,cimeria,ECONÓMICA,200,0.5000,15,779.29,21,1448,14,30,0
k_bajas,0.7,20260806,cimeria,ECONÓMICA,200,0.5833,12,516.78,17,1221,17,24,0
k_bajas,0.7,20260807,cimeria,ECONÓMICA,34,0.6250,14,578.82,20,409,12,28,0
k_bajas,0.7,20260808,cimeria,ECONÓMICA,200,0.5000,18,801.71,21,1412,16,36,0
k_bajas,0.7,20260809,cimeria,ECONÓMICA,200,0.5000,15,780.40,21,1448,14,30,0
k_bajas,0.7,20260810,cimeria,ECONÓMICA,33,0.6667,13,608.04,20,405,17,26,0
k_bajas,0.7,20260811,cimeria,ECONÓMICA,34,0.6250,14,577.33,20,409,12,28,0
k_bajas,0.7,20260812,cimeria,ECONÓMICA,200,0.5000,15,780.78,21,1448,14,30,0
k_bajas,0.7,20260813,cimeria,ECONÓMICA,34,0.6250,12,460.59,20,407,12,24,0
k_bajas,0.7,20260814,cimeria,ECONÓMICA,33,0.6667,13,613.94,20,405,17,26,0
k_bajas,0.7,20260815,cimeria,ECONÓMICA,34,0.6250,12,464.29,20,407,12,24,0
k_bajas,0.7,20260816,cimeria,ECONÓMICA,200,0.5417,19,868.66,23,1248,13,38,0
k_bajas,0.7,20260817,cimeria,ECONÓMICA,34,0.6250,14,597.88,20,407,12,28,0
k_bajas,0.7,20260818,cimeria,ECONÓMICA,38,0.6667,16,740.73,20,442,14,32,0
k_bajas,0.7,20260819,cimeria,ECONÓMICA,200,0.5417,16,715.40,23,1227,12,32,0
k_bajas,0.7,20260820,cimeria,ECONÓMICA,200,0.5417,15,785.46,24,1608,14,30,0
k_bajas,0.7,20260821,cimeria,ECONÓMICA,38,0.6667,16,740.05,20,442,14,32,0
k_bajas,0.7,20260822,cimeria,ECONÓMICA,33,0.6667,13,611.66,20,405,17,26,0
k_bajas,0.7,20260823,cimeria,ECONÓMICA,200,0.5417,16,796.76,25,1591,11,32,0
k_bajas,0.7,20260824,cimeria,ECONÓMICA,37,0.6667,16,744.92,20,442,11,32,0
k_bajas,0.7,20260825,cimeria,ECONÓMICA,37,0.6667,16,740.76,20,442,11,32,0
k_bajas,0.7,20260826,cimeria,ECONÓMICA,34,0.6250,14,584.57,20,407,12,28,0
