experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
desgaste,kBeta,0.5,1011,galia,19,5,11,1281
desgaste,kBeta,0.5,1012,galia,19,5,11,1281
desgaste,kBeta,0.5,1013,galia,19,5,11,1281
desgaste,kBeta,0.5,1014,galia,19,5,11,1281
desgaste,kBeta,0.5,1015,galia,19,5,11,1281
desgaste,kBeta,0.5,1016,galia,19,5,11,1281
desgaste,kBeta,0.5,1017,galia,19,5,11,1281
desgaste,kBeta,0.5,1018,galia,19,5,11,1281
desgaste,kBeta,0.5,1019,galia,19,5,11,1281
desgaste,kBeta,0.5,1020,galia,19,5,11,1281
desgaste,kBeta,0.5,1021,galia,19,5,11,1281
desgaste,kBeta,0.5,1022,galia,19,5,11,1281
desgaste,kBeta,0.5,1023,galia,19,5,11,1281
desgaste,kBeta,0.5,1024,galia,19,5,11,1281
desgaste,kBeta,0.5,1025,galia,19,5,11,1281
desgaste,kBeta,0.5,1026,galia,19,5,11,1281
desgaste,kBeta,0.5,1027,grecia,19,3,11,1143
desgaste,kBeta,0.5,1028,galia,19,5,11,1281
desgaste,kBeta,0.5,1029,galia,19,5,11,1281
desgaste,kBeta,0.5,1030,galia,19,5,11,1281
desgaste,kBeta,0.5,1031,galia,19,5,11,1281
desgaste,kBeta,0.5,1032,galia,19,5,11,1281
desgaste,kBeta,0.5,1033,grecia,21,8,11,0
desgaste,kBeta,0.5,1034,galia,19,5,11,1281
desgaste,kBeta,0.5,1035,grecia,21,8,11,0
desgaste,kBeta,0.5,1036,galia,19,5,11,1281
desgaste,kBeta,0.5,1037,galia,19,6,11,1281
desgaste,kBeta,0.5,1038,galia,19,5,11,1281
desgaste,kBeta,0.5,1039,galia,19,5,11,1281
desgaste,kBeta,0.5,1040,galia,19,5,11,1281
desgaste,kBeta,0.5,1041,galia,19,5,11,1281
desgaste,kBeta,0.5,1042,galia,19,5,11,1281
desgaste,kBeta,0.5,1043,galia,19,5,11,1281
desgaste,kBeta,0.5,1044,galia,19,5,11,1281
desgaste,kBeta,0.5,1045,galia,19,5,11,1281
desgaste,kBeta,0.5,1046,galia,19,5,11,1281
desgaste,kBeta,0.5,1047,galia,19,5,11,1281
desgaste,kBeta,0.5,1048,galia,19,5,11,1281
desgaste,kBeta,0.5,1049,galia,19,5,11,1281
desgaste,kBeta,0.5,1050,galia,19,5,11,1281
desgaste,kBeta,0.5,1051,grecia,19,3,11,1144
desgaste,kBeta,0.5,1052,galia,19,5,11,1281
desgaste,kBeta,0.5,1053,grecia,19,3,11,1138
desgaste,kBeta,0.5,1054,galia,200,358,10,0
desgaste,kBeta,0.5,1055,galia,19,5,11,1281
desgaste,kBeta,0.5,1056,grecia,21,8,11,0
desgaste,kBeta,0.5,1057,grecia,21,8,11,0
desgaste,kBeta,0.5,1058,galia,19,5,11,1281
desgaste,kBeta,0.5,1059,galia,19,5,11,1281
desgaste,kBeta,0.5,1060,galia,19,5,11,1281
desgaste,kBeta,0.5,1061,galia,19,5,11,1281
desgaste,kBeta,0.5,1062,galia,19,5,11,1281
