experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
crecimiento,gL,0.01,1013,galia,19,5,11,1281
crecimiento,gL,0.01,1014,galia,19,5,11,1281
crecimiento,gL,0.01,1015,galia,200,366,10,0
crecimiento,gL,0.01,1016,galia,200,366,10,0
crecimiento,gL,0.01,1017,galia,19,5,11,1281
crecimiento,gL,0.01,1018,galia,200,358,9,0
crecimiento,gL,0.01,1019,galia,19,5,11,1281
crecimiento,gL,0.01,1020,galia,19,5,11,1281
crecimiento,gL,0.01,1021,galia,200,366,10,0
crecimiento,gL,0.01,1022,galia,19,5,11,1281
crecimiento,gL,0.01,1023,galia,200,366,10,0
crecimiento,gL,0.01,1024,grecia,21,6,12,0
crecimiento,gL,0.01,1025,galia,19,5,11,1281
crecimiento,gL,0.01,1026,grecia,21,8,11,0
crecimiento,gL,0.01,1027,galia,19,5,11,1281
crecimiento,gL,0.01,1028,galia,19,5,11,1281
crecimiento,gL,0.01,1029,galia,19,5,11,1281
crecimiento,gL,0.01,1030,galia,200,366,10,0
crecimiento,gL,0.01,1031,galia,19,5,11,1281
crecimiento,gL,0.01,1032,galia,200,366,10,0
crecimiento,gL,0.01,1033,galia,19,5,11,1281
crecimiento,gL,0.01,1034,galia,200,366,10,0
crecimiento,gL,0.01,1035,galia,19,5,11,1281
crecimiento,gL,0.01,1036,galia,19,5,11,1281
crecimiento,gL,0.01,1037,galia,200,366,10,0
crecimiento,gL,0.01,1038,galia,200,366,10,0
crecimiento,gL,0.01,1039,galia,19,5,11,1281
crecimiento,gL,0.01,1040,galia,19,5,11,1281
crecimiento,gL,0.01,1041,galia,19,5,11,1281
crecimiento,gL,0.01,1042,galia,19,5,11,1281
crecimiento,gL,0.01,1043,galia,200,366,10,0
crecimiento,gL,0.01,1044,galia,19,5,11,1281
crecimiento,gL,0.01,1045,galia,19,5,11,1281
crecimiento,gL,0.01,1046,galia,200,366,10,0
crecimiento,gL,0.01,1047,galia,19,5,11,1281
crecimiento,gL,0.01,1048,galia,19,5,11,1281
crecimiento,gL,0.01,1049,galia,200,366,10,0
crecimiento,gL,0.01,1050,grecia,22,6,12,0
crecimiento,gL,0.01,1051,galia,19,5,11,1281
crecimiento,gL,0.01,1052,grecia,21,8,11,0
crecimiento,gL,0.01,1053,galia,19,5,11,1281
crecimiento,gL,0.01,1054,galia,200,366,10,0
crecimiento,gL,0.01,1055,galia,200,366,10,0
crecimiento,gL,0.01,1056,galia,200,358,9,0
crecimiento,gL,0.01,1057,galia,200,366,10,0
crecimiento,gL,0.01,1058,galia,19,5,11,1281
crecimiento,gL,0.01,1059,galia,200,366,10,0
crecimiento,gL,0.01,1060,galia,200,366,10,0
crecimiento,gL,0.01,1061,galia,200,366,10,0
crecimiento,gL,0.01,1062,galia,19,5,11,1281
crecimiento,gL,0.01,1063,galia,19,5,11,1281
crecimiento,gL,0.01,1064,galia,19,5,11,1281
crecimiento,gL,0.01,1065,galia,200,366,10,0
crecimiento,gL,0.01,1066,grecia,21,8,11,0
crecimiento,gL,0.01,1067,galia,200,366,10,0
crecimiento,gL,0.01,1068,galia,200,366,10,0
crecimiento,gL,0.01,1069,grecia,21,6,12,0
crecimiento,gL,0.01,1070,galia,19,5,11,1281
crecimiento,gL,0.01,1071,galia,19,5,11,1281
crecimiento,gL,0.01,1072,galia,19,5,11,1281
crecimiento,gL,0.01,1073,galia,200,366,10,0
