experimento,parametro,valor,semilla,ganador,turnos,revueltas,provincias_ganador,tropas_ganador
revueltas,revoltRiskK,0,1000,galia,42,0,18,28927
revueltas,revoltRiskK,0,1001,galia,42,0,18,28927
revueltas,revoltRiskK,0,1002,galia,42,0,18,28927
revueltas,revoltRiskK,0,1003,galia,42,0,18,28927
revueltas,revoltRiskK,0,1004,galia,42,0,18,28927
revueltas,revoltRiskK,0,1005,galia,42,0,18,28927
revueltas,revoltRiskK,0,1006,galia,42,0,18,28927
revueltas,revoltRiskK,0,1007,galia,42,0,18,28927
revueltas,revoltRiskK,0,1008,galia,42,0,18,28927
revueltas,revoltRiskK,0,1009,galia,42,0,18,28927
revueltas,revoltRiskK,0,1010,galia,42,0,18,28927
revueltas,revoltRiskK,0,1011,galia,42,0,18,28927
revueltas,revoltRiskK,0,1012,galia,42,0,18,28927
revueltas,revoltRiskK,0,1013,galia,42,0,18,28927
revueltas,revoltRiskK,0,1014,galia,42,0,18,28927
revueltas,revoltRiskK,0,1015,galia,42,0,18,28927
revueltas,revoltRiskK,0,1016,galia,42,0,18,28927
revueltas,revoltRiskK,0,1017,galia,42,0,18,28927
revueltas,revoltRiskK,0,1018,galia,42,0,18,28927
revueltas,revoltRiskK,0,1019,galia,42,0,18,28927
revueltas,revoltRiskK,0,1020,galia,42,0,18,28927
revueltas,revoltRiskK,0,1021,galia,42,0,18,28927
revueltas,revoltRiskK,0,1022,galia,42,0,18,28927
revueltas,revoltRiskK,0,1023,galia,42,0,18,28927
revueltas,revoltRiskK,0,1024,galia,42,0,18,28927
revueltas,revoltRiskK,0,1025,galia,42,0,18,28927
revueltas,revoltRiskK,0,1026,galia,42,0,18,28927
revueltas,revoltRiskK,0,1027,galia,42,0,18,28927
revueltas,revoltRiskK,0,1028,galia,42,0,18,28927
revueltas,revoltRiskK,0,1029,galia,42,0,18,28927
revueltas,revoltRiskK,0,1030,galia,42,0,18,28927
revueltas,revoltRiskK,0,1031,galia,42,0,18,28927
revueltas,revoltRiskK,0,1032,galia,42,0,18,28927
revueltas,revoltRiskK,0,1033,galia,42,0,18,28927
revueltas,revoltRiskK,0,1034,galia,42,0,18,28927
revueltas,revoltRiskK,0,1035,galia,42,0,18,28927
revueltas,revoltRiskK,0,1036,galia,42,0,18,28927
revueltas,revoltRiskK,0,1037,galia,42,0,18,28927
revueltas,revoltRiskK,0,1038,galia,42,0,18,28927
revueltas,revoltRiskK,0,1039,galia,42,0,18,28927
revueltas,revoltRiskK,0,1040,galia,42,0,18,28927
revueltas,revoltRiskK,0,1041,galia,42,0,18,28927
revueltas,revoltRiskK,0,1042,galia,42,0,18,28927
revueltas,revoltRiskK,0,1043,galia,42,0,18,28927
revueltas,revoltRiskK,0,1044,galia,42,0,18,28927
revueltas,revoltRiskK,0,1045,galia,42,0,18,28927
revueltas,revoltRiskK,0,1046,galia,42,0,18,28927
revueltas,revoltRiskK,0,1047,galia,42,0,18,28927
revueltas,revoltRiskK,0,1048,galia,42,0,18,28927
revueltas,revoltRiskK,0,1049,galia,42,0,18,28927
revueltas,revoltRiskK,0,1050,galia,42,0,18,28927
revueltas,revoltRiskK,0,1051,galia,42,0,18,28927
revueltas,revoltRiskK,0,1052,galia,42,0,18,28927
revueltas,revoltRiskK,0,1053,galia,42,0,18,28927
revueltas,revoltRiskK,0,1054,galia,42,0,18,28927
revueltas,revoltRiskK,0,1055,galia,42,0,18,28927
revueltas,revoltRiskK,0,1056,galia,42,0,18,28927
revueltas,revoltRiskK,0,1057,galia,42,0,18,28927
revueltas,revoltRiskK,0,1058,galia,42,0,18,28927
revueltas,revoltRiskK,0,1059,galia,42,0,18,28927
revueltas,revoltRiskK,0,1060,galia,42,0,18,28927
revueltas,revoltRiskK,0,1061,galia,42,0,18,28927
revueltas,revoltRiskK,0,1062,galia,42,0,18,28927
revueltas,revoltRiskK,0,1063,galia,42,0,18,28927
revueltas,revoltRiskK,0,1064,galia,42,0,18,28927
revueltas,revoltRiskK,0,1065,galia,42,0,18,28927
revueltas,revoltRiskK,0,1066,galia,42,0,18,28927
revueltas,revoltRiskK,0,1067,galia,42,0,18,28927
revueltas,revoltRiskK,0,1068,galia,42,0,18,28927
revueltas,revoltRiskK,0,1069,galia,42,0,18,28927
revueltas,revoltRiskK,0,1070,galia,42,0,18,28927
revueltas,revoltRiskK,0,1071,galia,42,0,18,28927
revueltas,revoltRiskK,0,1072,galia,42,0,18,28927
revueltas,revoltRiskK,0,1073,galia,42,0,18,28927
revueltas,revoltRiskK,0,1074,galia,42,0,18,28927
revueltas,revoltRiskK,0,1075,galia,42,0,18,28927
revueltas,revoltRiskK,0,1076,galia,42,0,18,28927
revueltas,revoltRiskK,0,1077,galia,42,0,18,28927
revueltas,revoltRiskK,0,1078,galia,42,0,18,28927
revueltas,revoltRiskK,0,1079,galia,42,0,18,28927
revueltas,revoltRiskK,0,1080,galia,42,0,18,28927
revueltas,revoltRiskK,0,1081,galia,42,0,18,28927
revueltas,revoltRiskK,0,1082,galia,42,0,18,28927
revueltas,revoltRiskK,0,1083,galia,42,0,18,28927
revueltas,revoltRiskK,0,1084,galia,42,0,18,28927
revueltas,revoltRiskK,0,1085,galia,42,0,18,28927
revueltas,revoltRiskK,0,1086,galia,42,0,18,28927
revueltas,revoltRiskK,0,1087,galia,42,0,18,28927
revueltas,revoltRiskK,0,1088,galia,42,0,18,28927
revueltas,revoltRiskK,0,1089,galia,42,0,18,28927
revueltas,revoltRiskK,0,1090,galia,42,0,18,28927
revueltas,revoltRiskK,0,1091,galia,42,0,18,28927
revueltas,revoltRiskK,0,1092,galia,42,0,18,28927
revueltas,revoltRiskK,0,1093,galia,42,0,18,28927
revueltas,revoltRiskK,0,1094,galia,42,0,18,28927
revueltas,revoltRiskK,0,1095,galia,42,0,18,28927
revueltas,revoltRiskK,0,1096,galia,42,0,18,28927
revueltas,revoltRiskK,0,1097,galia,42,0,18,28927
revueltas,revoltRiskK,0,1098,galia,42,0,18,28927
revueltas,revoltRiskK,0,1099,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1000,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1001,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1002,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1003,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1004,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1005,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1006,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1007,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1008,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1009,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1010,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1011,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1012,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1013,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1014,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1015,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1016,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1017,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1018,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1019,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1020,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1021,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1022,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1023,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1024,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1025,galia,42,1,18,14649
revueltas,revoltRiskK,2.0E-4,1026,galia,42,1,17,28926
revueltas,revoltRiskK,2.0E-4,1027,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1028,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1029,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1030,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1031,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1032,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1033,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1034,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1035,galia,46,1,18,25775
revueltas,revoltRiskK,2.0E-4,1036,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1037,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1038,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1039,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1040,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1041,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1042,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1043,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1044,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1045,grecia,48,2,16,31039
revueltas,revoltRiskK,2.0E-4,1046,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1047,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1048,galia,38,1,18,29096
revueltas,revoltRiskK,2.0E-4,1049,galia,38,1,18,25252
revueltas,revoltRiskK,2.0E-4,1050,galia,46,1,18,23307
revueltas,revoltRiskK,2.0E-4,1051,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1052,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1053,galia,42,0,18,28927
revueltas,revoltRiskK,2.0E-4,1054,galia,42,0,18,28927
