experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
fortificacion,betaF,0.1,1015,galia,200,366,10,0
fortificacion,betaF,0.1,1016,galia,200,366,10,0
fortificacion,betaF,0.1,1017,galia,200,366,10,0
fortificacion,betaF,0.1,1018,galia,200,366,10,0
fortificacion,betaF,0.1,1019,galia,200,358,9,0
fortificacion,betaF,0.1,1020,galia,200,357,10,0
fortificacion,betaF,0.1,1021,galia,200,366,10,0
fortificacion,betaF,0.1,1022,galia,200,358,9,0
fortificacion,betaF,0.1,1023,galia,200,366,10,0
fortificacion,betaF,0.1,1024,grecia,22,6,12,0
fortificacion,betaF,0.1,1025,galia,19,5,11,1281
fortificacion,betaF,0.1,1026,galia,200,358,9,0
fortificacion,betaF,0.1,1027,galia,200,357,10,0
fortificacion,betaF,0.1,1028,galia,200,366,10,0
fortificacion,betaF,0.1,1029,galia,200,357,10,0
fortificacion,betaF,0.1,1030,galia,200,366,10,0
fortificacion,betaF,0.1,1031,galia,200,358,9,0
fortificacion,betaF,0.1,1032,galia,200,366,10,0
fortificacion,betaF,0.1,1033,galia,200,366,10,0
fortificacion,betaF,0.1,1034,galia,200,366,10,0
fortificacion,betaF,0.1,1035,galia,200,358,9,0
fortificacion,betaF,0.1,1036,galia,19,5,11,1281
fortificacion,betaF,0.1,1037,galia,200,366,10,0
fortificacion,betaF,0.1,1038,galia,200,366,10,0
fortificacion,betaF,0.1,1039,galia,200,358,9,0
fortificacion,betaF,0.1,1040,galia,200,358,9,0
fortificacion,betaF,0.1,1041,galia,200,366,10,0
fortificacion,betaF,0.1,1042,galia,200,366,10,0
fortificacion,betaF,0.1,1043,galia,200,366,10,0
fortificacion,betaF,0.1,1044,galia,200,358,9,0
fortificacion,betaF,0.1,1045,galia,200,366,10,0
fortificacion,betaF,0.1,1046,galia,200,366,10,0
fortificacion,betaF,0.1,1047,galia,200,366,10,0
fortificacion,betaF,0.1,1048,galia,200,358,9,0
fortificacion,betaF,0.1,1049,galia,200,366,10,0
fortificacion,betaF,0.1,1050,galia,200,366,10,0
fortificacion,betaF,0.1,1051,galia,200,358,9,0
fortificacion,betaF,0.1,1052,grecia,21,8,11,0
fortificacion,betaF,0.1,1053,galia,200,358,9,0
fortificacion,betaF,0.1,1054,galia,200,366,10,0
fortificacion,betaF,0.1,1055,galia,200,366,10,0
fortificacion,betaF,0.1,1056,galia,200,358,9,0
fortificacion,betaF,0.1,1057,galia,200,366,10,0
fortificacion,betaF,0.1,1058,galia,19,5,11,1281
fortificacion,betaF,0.1,1059,galia,200,366,10,0
fortificacion,betaF,0.1,1060,galia,200,366,10,0
fortificacion,betaF,0.1,1061,galia,200,366,10,0
